source_id	citation_key	doi	pmcid	evidence_type	source_file	sheet	header_row	id_column
shinya2013_secretome	shinya2013secretome	10.1371/journal.pone.0067377	PMC3689755	LC-MS/MS secretome protein identification	data/external/published_pwn_secretomes/PMC3689755_supplementary/pone.0067377.s005.xls	Sheet1	0	GeneDB accession
cardoso2016_bxpe	cardoso2016secretomes	10.1038/srep39007	PMC5150578	BxPE genomic-database protein identification at 5% local FDR	data/external/published_pwn_secretomes/PMC5150578_supplementary/srep39007-s2.xls	Table S1b	8	Accession
silva2021_stimulus_secretome	silva2021secretome	10.3389/fpls.2021.668064	PMC8144518	Pinus-stimulated SWATH-MS secretome protein quantification	data/external/published_pwn_secretomes/PMC8144518_supplementary/Data_Sheet_1.xlsx	Table S2	2	Protein
