run_id	replicate_group	panel_id	panel_scope	filter_level	model	use_error_model	n_gamma_categories	run_dir	log_path	input_summary
conifer_root_base_r1	conifer_root_base	conifer_root	conifer_wide	root_compatible	Base	false	1	results/cafe/diagnostic/runs/conifer_root_base_r1	results/logs/cafe_diag_conifer_root_base_r1.log	results/cafe/diagnostic/inputs/conifer_root.summary.tsv
conifer_root_error_est_r1	conifer_root_base_error	conifer_root	conifer_wide	root_compatible	Base	true	1	results/cafe/diagnostic/runs/conifer_root_error_est_r1	results/logs/cafe_diag_conifer_root_error_est_r1.log	results/cafe/diagnostic/inputs/conifer_root.summary.tsv
conifer_root_gamma2_error_r1	conifer_root_gamma2_error	conifer_root	conifer_wide	root_compatible	Gamma	true	2	results/cafe/diagnostic/runs/conifer_root_gamma2_error_r1	results/logs/cafe_diag_conifer_root_gamma2_error_r1.log	results/cafe/diagnostic/inputs/conifer_root.summary.tsv
conifer_strict_error_est_r1	conifer_strict_base_error	conifer_strict	conifer_wide	strict	Base	true	1	results/cafe/diagnostic/runs/conifer_strict_error_est_r1	results/logs/cafe_diag_conifer_strict_error_est_r1.log	results/cafe/diagnostic/inputs/conifer_strict.summary.tsv
host_root_base_r1	host_root_base	host_root	pinus_host_focused	root_compatible	Base	false	1	results/cafe/diagnostic/runs/host_root_base_r1	results/logs/cafe_diag_host_root_base_r1.log	results/cafe/diagnostic/inputs/host_root.summary.tsv
host_root_error_est_r1	host_root_base_error	host_root	pinus_host_focused	root_compatible	Base	true	1	results/cafe/diagnostic/runs/host_root_error_est_r1	results/logs/cafe_diag_host_root_error_est_r1.log	results/cafe/diagnostic/inputs/host_root.summary.tsv
host_root_gamma2_error_r1	host_root_gamma2_error	host_root	pinus_host_focused	root_compatible	Gamma	true	2	results/cafe/diagnostic/runs/host_root_gamma2_error_r1	results/logs/cafe_diag_host_root_gamma2_error_r1.log	results/cafe/diagnostic/inputs/host_root.summary.tsv
host_strict_error_est_r1	host_strict_base_error	host_strict	pinus_host_focused	strict	Base	true	1	results/cafe/diagnostic/runs/host_strict_error_est_r1	results/logs/cafe_diag_host_strict_error_est_r1.log	results/cafe/diagnostic/inputs/host_strict.summary.tsv
