sample_id	local_path	quantification_source
pthun_0w_rep4_SRR29499879	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499879/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_0w_rep6_SRR29499878	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499878/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_0w_rep8_SRR29499877	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499877/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_2w_rep4_SRR29499876	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499876/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_2w_rep6_SRR29499875	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499875/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_2w_rep8_SRR29499873	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499873/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_4w_rep4_SRR29499872	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499872/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_4w_rep6_SRR29499871	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499871/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
pthun_4w_rep8_SRR29499870	data/external/galaxy/apoplastic_cell_wall_pthun_salmon/SRR29499870/quant.sf	galaxy_salmon_1.10.1_P_taeda_surrogate_reference
